,playID,TotalDistance,AverageBallSpeed,InitialBallAcceleration,playPerGame,gameID,result
0,6,146.40973707163252,76.30393836163135,1526.078767227075,0.0,0.0,0.0
1,17,310.54092688953176,157.51420235990753,3150.2840472010157,0.0,0.0,0.0
2,19,314.9889295768722,31.24010472953071,946.6698403046726,169.0,93.0,1.0
3,25,139.81521596291657,51.855509812483845,1037.1101962459038,0.0,0.0,0.0
4,31,231.37108280407585,112.95434961328303,3422.859079153415,0.0,0.0,0.0
5,33,251.47286438233704,141.1834252613235,2823.66850526756,186.0,85.0,1.0
6,35,311.281629928278,86.29713258102736,1725.9426516201547,0.0,0.0,0.0
7,36,279.40122991324506,203.7127682386414,4074.255364832116,0.0,0.0,0.0
8,38,123.86906535936346,132.3212153290267,2646.4243065709065,0.0,0.0,0.0
9,41,270.8090695175726,70.16246623185793,2126.1353403363614,0.0,0.0,0.0
10,52,361.67169968854995,216.79075758214023,4335.815151646748,0.0,0.0,0.0
11,56,77.9945083029331,104.20822888004089,2084.1645775932357,0.0,0.0,0.0
12,65,97.96977929099664,91.23213698442986,2764.6102116195216,0.0,0.0,0.0
13,66,165.26843750227226,132.93958732392863,2658.791746420537,0.0,0.0,0.0
14,67,246.86699690516096,91.22852112971835,1824.5704225545403,0.0,0.0,0.0
15,69,427.7366126968371,98.50984623080909,1970.1969246179738,22.0,88.0,1.0
16,75,446.52784027309116,267.7049986364445,5354.099972733759,0.0,0.0,0.0
17,77,446.0826291653352,138.66807732497475,2773.361546502017,36.0,41.0,1.0
18,79,246.2323238477236,183.31980888400977,3666.396177666857,0.0,0.0,0.0
19,93,268.0107475555294,132.7432406988913,2654.8648139681677,172.0,53.0,1.0
20,99,136.76729393262596,92.55612447562348,2804.73104471938,0.0,0.0,0.0
21,102,153.09909854548485,85.19365076247446,1703.8730152122973,0.0,0.0,0.0
22,104,443.1611553345837,176.90004159737757,3538.0008319346803,0.0,0.0,0.0
23,106,256.58385673476545,106.88676932554799,2137.7353865420678,145.0,44.0,1.0
24,111,144.14958496639235,86.63547769456223,1732.709553884941,0.0,0.0,0.0
25,114,219.64287756765347,114.31583171514039,2286.3166342529025,270.0,7.0,1.0
26,115,327.74431560151527,104.68518380404475,2093.7036761113627,0.0,0.0,0.0
27,118,152.93903947690387,130.367892313347,2607.3578462574546,0.0,0.0,0.0
