gameID,playID,playPerGame,eventTimeStamp,eventCode
1,23916,3,38518,1
1,23916,3,38918,4
1,23916,3,39018,5
1,21510,12,246618,1
1,21510,12,247068,4
1,21510,12,247168,16
1,21510,12,247768,16
1,21510,12,248218,16
1,21510,12,248618,2
1,21510,12,249218,3
1,21510,12,249868,2
1,21510,12,250318,3
1,21510,12,251318,2
1,21510,12,251318,5
1,7027,14,419018,1
1,7027,14,419418,4
1,7027,14,422918,16
1,7027,14,422968,2
1,7027,14,424368,3
1,7027,14,425768,2
1,7027,14,425868,5
1,20035,15,453268,1
1,20035,15,453668,4
1,20035,15,454068,5
1,9072,18,509618,1
1,9072,18,510018,4
1,9072,18,515068,11
1,9072,18,515568,5
1,11269,19,557518,1
1,11269,19,557918,4
1,11269,19,557968,5
1,5758,20,575018,1
1,5758,20,575418,4
1,5758,20,581918,2
1,5758,20,581968,5
1,13615,22,646968,1
1,13615,22,647368,4
1,13615,22,648118,16
1,13615,22,648818,16
1,13615,22,649368,16
1,13615,22,650018,16
1,13615,22,650868,10
1,13615,22,652018,10
1,13615,22,653668,2
1,13615,22,654968,3
1,13615,22,656568,2
1,13615,22,659168,5
1,26276,25,735418,1
1,26276,25,735918,4
1,26276,25,735968,16
1,26276,25,737468,16
1,26276,25,738168,2
1,26276,25,739218,3
1,26276,25,740018,2
1,26276,25,740018,5
1,14349,26,769318,1
1,14349,26,769718,4
1,14349,26,774568,2
1,14349,26,774568,5
1,18608,32,996718,1
1,18608,32,997118,4
1,18608,32,997268,5
1,5404,34,1053018,1
1,5404,34,1053418,4
1,5404,34,1053518,5
1,15577,37,1102918,1
1,15577,37,1103418,4
1,15577,37,1106868,11
1,15577,37,1107468,5
1,4292,41,1182668,1
1,4292,41,1183118,4
1,4292,41,1187418,2
1,4292,41,1187468,5
1,22678,42,1217818,1
1,22678,42,1218218,4
1,22678,42,1218768,16
1,22678,42,1219268,16
1,22678,42,1220118,16
1,22678,42,1220468,16
1,22678,42,1220918,16
