playID,gameID,playPerGame,angle_deg
6,75,164,98.71147491751216
17,82,55,114.30713477602703
19,93,169,118.82503424845963
25,41,76,102.158102128362
31,93,200,70.33395869995576
33,85,186,153.8976856099035
35,14,3,82.1903820444097
36,28,230,79.75689283345572
38,35,53,127.4846904997164
41,58,76,89.71559654629202
52,17,34,68.0923948484259
56,1,132,129.58439423172962
65,93,115,108.66385074245333
66,8,246,79.91039877688948
67,16,297,67.08764233671658
69,88,22,102.37709126613552
75,64,20,100.02078186342617
77,41,36,101.79888839731251
79,26,249,69.85368668459864
93,53,172,116.86682858164285
99,40,14,82.24865137644733
102,78,291,79.77488441029308
104,31,220,115.43711270672009
106,44,145,118.7006776846515
111,70,177,18.87764077819078
114,7,270,58.13302676362062
115,74,256,130.48326178775685
118,17,185,67.26349432023542
119,81,168,170.9214395232585
130,95,60,124.30772409294137
149,38,20,92.1092822194264
151,35,72,71.83837997607488
152,40,74,77.93529498470869
153,59,159,133.33578578369765
161,61,34,99.93774302968552
163,52,13,101.39801773858265
167,41,211,78.24877689647694
170,19,39,120.11984311043048
185,6,240,66.58819700535805
186,38,106,112.1583193435003
189,52,279,95.29556005210777
195,25,207,92.64853394728394
196,75,249,67.26916264977532
199,2,202,83.85601937031858
202,20,34,77.05776462910623
212,78,260,107.61620382451335
213,52,336,111.70003821957168
227,86,182,104.96095597272684
251,24,110,54.3906342145448
255,2,144,98.47906663477606
256,15,211,101.41476337536567
260,73,278,103.0385091827774
264,27,212,72.34914950922239
269,70,20,116.18764340145839
272,14,13,68.12816920706173
302,95,271,103.74591531463821
308,5,8,92.39737454288604
319,35,24,48.02385852488475
324,94,180,71.55146680700959
334,91,220,100.46613247975588
338,34,261,109.636992727479
362,34,106,55.454372303776076
366,94,77,84.13801493421774
369,21,99,43.4836145660183
373,6,196,109.83239582567174
377,38,212,92.91748223068906
378,11,220,93.20828213841328
381,32,91,77.71000508009371
401,53,210,84.10039026983495
405,86,125,77.08841297451427
408,61,88,87.18073905103448
413,81,115,66.88323067752181
414,81,101,87.57141964510504
423,4,6,102.54881916238209
427,85,182,85.36398405537747
430,18,206,100.34347533786914
436,67,59,83.47021625538386
437,10,173,87.06846762657179
448,60,72,92.64704329453868
449,10,154,119.98098132573293
459,2,2,102.42197940152292
480,80,177,68.94664904871388
486,2,130,88.64789581889121
491,91,113,88.72794346667378
500,70,71,100.38818803839091
513,58,163,76.18558131636325
517,61,166,97.9954023063568
519,89,133,78.92490086008792
533,50,205,94.1802874084333
549,16,205,111.49254443751019
569,32,34,95.21553300744316
570,75,31,94.83660068134908
572,45,59,100.10239539044053
594,95,140,72.91469203503243
617,70,105,12.935175194694343
